Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Consumers,like,share,Total Interactions,date
Photo,2,12,4,3,0,2752,109,79,17,100,10/12/2014
Status,2,12,3,10,0,10460,1361,130,29,164,09/12/2014
Photo,3,12,3,3,0,2413,113,66,14,80,16/12/2014
Photo,2,12,2,10,1,50128,790,1572,147,1777,29/12/2014
Photo,2,12,2,3,0,7244,410,325,49,393,08/12/2014
Status,2,12,1,9,0,10472,1073,152,33,186,14/12/2014
Photo,3,12,1,3,1,11692,265,249,27,279,21/12/2014
Photo,3,12,7,9,1,13720,232,325,14,339,13/12/2014
Status,2,12,7,3,0,11844,1407,161,31,192,20/12/2014
Photo,3,12,6,10,0,4694,183,113,26,142,26/12/2014
Status,2,12,5,10,0,21744,4100,233,19,252,18/12/2014
Photo,2,12,5,10,0,3112,127,88,18,106,25/12/2014
Photo,2,12,5,10,0,2847,115,90,14,104,04/12/2014
Photo,2,12,5,3,0,2549,134,137,10,152,11/12/2014
Photo,2,12,4,5,1,22784,337,577,20,599,17/12/2014
Status,2,12,3,10,0,10060,1209,86,18,108,23/12/2014
Photo,3,12,3,3,0,1722,123,40,12,54,30/12/2014
Photo,1,12,2,12,1,53264,1103,678,20,713,15/12/2014
Status,3,12,2,3,0,3930,86,54,17,75,22/12/2014
Photo,3,12,1,11,0,1591,88,34,8,42,28/12/2014
Photo,2,12,1,3,0,2848,142,66,12,81,07/12/2014
Photo,1,12,7,10,0,1384,15,0,0,0,27/12/2014
Link,1,12,7,10,0,3454,104,16,2,18,06/12/2014
Photo,3,12,7,3,0,2723,118,72,24,96,13/12/2014
Status,2,12,6,10,0,8488,1270,99,19,121,05/12/2014
Status,2,12,6,3,0,8284,1462,88,18,106,12/12/2014
Status,2,12,5,11,0,19552,2531,412,72,494,18/12/2014
Photo,3,12,5,3,0,2478,124,100,17,117,25/12/2014
Photo,2,12,5,3,0,9560,559,523,63,622,04/12/2014
Video,1,12,4,11,1,36208,1068,143,13,174,24/12/2014
Photo,2,12,4,2,0,4940,306,107,22,162,31/12/2014
Photo,2,12,3,10,0,1683,171,27,11,39,09/12/2014
Photo,3,12,3,3,0,5280,237,155,47,204,16/12/2014
Photo,3,12,2,9,0,3002,185,98,23,125,29/12/2014
Photo,1,12,2,3,0,3766,260,56,17,75,15/12/2014
Photo,2,12,1,11,0,4512,284,172,21,199,14/12/2014
Photo,3,12,1,3,0,2690,168,96,17,113,21/12/2014
Photo,1,12,7,10,1,19800,424,76,8,100,20/12/2014
Status,2,12,7,9,0,17576,5202,227,31,269,27/12/2014
Photo,1,12,7,3,0,3290,284,44,14,59,06/12/2014
Status,2,12,6,11,0,13280,1912,216,39,262,19/12/2014
Link,1,12,6,3,1,18480,366,187,18,211,26/12/2014
Photo,1,12,5,10,0,7268,2079,26,3,36,11/12/2014
Link,1,12,5,3,1,2645,109,29,10,46,18/12/2014
Photo,1,12,4,11,0,4284,316,47,11,58,10/12/2014
Link,1,12,4,3,1,7968,158,57,10,71,17/12/2014
Status,1,12,3,11,0,16576,3464,174,36,214,23/12/2014
Link,1,12,3,2,0,1925,83,18,8,32,30/12/2014
Photo,1,12,2,11,0,3786,283,77,15,92,22/12/2014
Link,1,12,2,2,0,1536,76,12,1,14,29/12/2014
Photo,2,11,1,9,0,1728,65,48,9,58,02/11/2014
Photo,1,11,1,3,1,25248,467,285,28,337,09/11/2014
Photo,1,11,7,9,0,4894,181,202,31,242,15/11/2014
Photo,1,11,7,3,0,2935,182,64,19,87,22/11/2014
Photo,1,11,6,10,0,2425,213,66,13,83,28/11/2014
Video,1,11,6,2,1,16416,411,65,14,81,07/11/2014
Photo,1,11,5,11,0,5812,204,164,54,220,13/11/2014
Photo,1,11,5,3,0,2545,131,40,13,53,20/11/2014
Photo,1,11,4,10,0,2257,173,76,11,90,26/11/2014
Photo,1,11,4,3,1,27072,304,139,17,160,05/11/2014
Photo,1,11,3,11,1,10940,335,101,14,123,04/11/2014
Photo,1,11,3,2,1,50912,513,144,10,162,11/11/2014
Photo,1,11,2,10,1,28752,654,179,13,202,03/11/2014
Photo,1,11,2,3,1,27216,335,219,22,245,10/11/2014
Photo,1,11,1,10,0,2352,182,60,7,69,16/11/2014
