Restaurant,Price,Food,Decor,Service,East
Daniella Ristorante,43,22,18,20,0
Tello's Ristorante,32,20,19,19,0
Biricchino,34,21,13,18,0
Bottino,41,20,20,17,0
Da Umberto,54,24,19,21,0
Le Madri,52,22,22,21,0
Le Zie,34,22,16,21,0
Pasticcio,34,20,18,21,1
Belluno,39,22,19,22,1
Cinque Terre,44,21,17,19,1
Fino,45,19,17,20,1
Marchi's,47,21,19,21,1
Nicola Paone,52,21,19,20,1
Notaro,35,19,17,19,1
Rossini's,47,20,18,21,1
Trattoria Alba,37,21,19,21,1
Villa Berulia,45,22,18,23,1
Il Postino,57,24,21,22,1
Luna Blu,38,19,17,18,1
San Giusto,51,22,20,22,1
Grifone,54,23,20,23,1
Nanni's,51,23,17,21,1
Osteria Laguna,38,20,18,18,1
Bellini,49,22,21,21,1
Cellini,45,22,20,22,1
Anche Vivolo,37,19,17,19,1
Bruno Ristorante,50,22,19,22,1
Chianti,43,20,16,18,1
Da Antonio Ristorante,49,22,19,20,1
Harry Cipriani,65,21,20,20,1
La Gioconda,34,20,16,18,1
Bice,51,21,20,18,1
Coco Pazzo Cafe,49,20,19,19,1
DeGrezia,51,23,22,23,1
FELIDIA,62,25,22,23,1
Fresco by Scotto,50,23,21,21,1
Giambelli,51,21,18,20,1
Il Menestrello,52,22,19,22,1
Il Nido,57,24,20,23,1
Il Valentino,49,21,20,21,1
Luna Piena,33,19,17,18,1
Paper Moon Milano,43,19,17,17,1
Teodora,41,21,17,18,1
San Pietro,58,24,21,23,1
Bravo Gianni,56,22,17,21,1
Canaletto,44,22,17,21,1
Il Gatto & La Volpe,37,20,15,20,1
Il Valletto Due Mila,56,21,17,20,1
Scalinatella,58,24,18,21,1
Barbaresco,44,16,16,16,1
Da Filippo,46,20,18,20,1
East River Cafe,40,20,20,20,1
Fred's at Barneys NY,39,19,18,17,1
Il Vagabondo,36,17,14,17,1
Mediterraneo,34,18,15,16,1
Nello,54,18,16,15,1
Primola,51,23,17,20,1
Gino,41,20,14,19,1
Via Oreto,40,22,17,20,1
Bardolino,24,18,13,18,1
Campagnola,53,24,20,21,1
Cucina Vivolo,31,19,16,17,1
Grace's Trattoria,35,18,16,17,1
Lumi,49,20,19,19,1
Mezzaluna,38,19,15,17,1
Sette Mezzo,48,21,16,18,1
Vivolo,43,20,19,20,1
Zucchero e Pomodori,29,17,14,15,1
Baraonda,37,17,18,15,1
Coco Pazzo,55,22,21,20,1
Due,37,22,18,20,1
Il Monello,55,23,20,22,1
Lusardi's,49,24,20,22,1
Maruzzella,33,19,14,18,1
Nino's,52,23,20,22,1
Parma,47,22,16,21,1
Il Riccio,43,21,16,20,1
Andiamo,33,18,17,18,1
Caffe Grazie,38,18,16,19,1
Giovanni Venticinque,48,21,18,19,1
Girasole,50,21,18,21,1
Paola's,46,23,19,21,1
Rughetta,38,23,19,24,1
Triangolo,33,20,16,19,1
Cafe Trevi,46,23,19,23,1
Divino Ristorante,37,19,15,19,1
Elio's,50,23,18,20,1
Erminia,54,25,24,24,1
Firenze,41,21,19,21,1
Luca,37,21,15,18,1
Nicola's,50,22,18,21,1
Primavera,60,24,22,23,1
Sirabella's,36,23,16,22,1
Sistina,54,23,19,21,1
Spada,39,19,18,18,1
Trattoria Rustica,35,20,16,18,1
Carino Ristorante,30,19,13,20,1
Quattro Gatti,41,19,17,19,1
Tony's Di Napoli,30,19,14,17,1
Ecco-la,25,18,15,15,1
Joanna's,43,19,18,21,1
Vico,45,20,15,17,1
Rao's,57,23,16,20,1
Basta Pasta,32,18,15,17,0
Campagna,51,24,21,21,1
Follonico,48,23,20,21,1
Ribollita,36,18,16,16,1
Bondi Ristorante,37,20,17,19,0
Casa Mia,31,20,19,19,1
Novita,47,23,19,21,1
Paul & Jimmy's,40,19,16,19,1
Sal Anthony's,37,18,16,18,1
Enoteca i Trulli,43,23,20,21,1
I Trulli,51,23,22,21,1
Lamarca,19,18,9,15,1
Supreme Macaroni Co.,28,17,14,17,0
Veronica,22,21,6,14,0
Arno,41,19,17,19,0
Amarone,33,19,15,18,0
Cara Mia,29,19,15,17,0
Casa Di Meglio,33,19,17,18,0
La Rivista,45,19,16,18,0
Trattoria Dopo Teatro,38,17,16,17,0
Barbetta,52,20,23,20,0
Becco,38,20,17,19,0
Coco Pazzo Teatro,47,18,18,17,0
Orso,46,22,18,20,0
Osteria al Doge,40,20,17,18,0
Pietrasanta,32,20,15,19,0
Rainbow Grill,65,19,23,18,0
Torre di Pisa,47,19,21,17,0
San Domenico,65,23,22,22,0
Trionfo,45,20,17,21,0
ViceVersa,46,22,22,20,0
Artusi,44,20,19,20,0
Ciao Europa,40,19,19,18,0
Limoncello,46,19,18,20,0
Puttanesca,32,19,15,17,0
Rino Trattoria,23,20,14,16,0
Sette MoMA,42,18,21,17,0
Trattoria Del Sogno,29,21,18,19,0
Castellano,49,21,18,20,0
Circo Osteria del,53,22,24,21,0
Giovanni,45,22,19,21,0
Palio,63,22,25,22,0
Remi,52,23,23,21,0
Tuscan Square,40,19,20,17,0
Vago Ristorante,45,22,21,23,0
Bello,38,21,17,20,0
Caffe Cielo,38,18,17,18,0
Da Tommaso,42,21,16,20,0
Il Tinello,57,23,19,23,0
Nocello,39,21,19,20,0
Tino's,43,20,18,18,0
Mangia e Bevi,29,17,14,16,0
Patsy's,42,20,16,19,0
Gabriel's,50,22,19,21,0
Pappardella,34,18,16,17,0
Ernie's,31,16,15,16,0
Pomodoro Rosso,31,20,17,19,0
Scaletta,46,21,19,22,0
"La Grolla, Ristorante",42,21,15,19,0
"Sambuca, Trattoria",31,19,16,18,0
Baci,31,17,15,16,0
Puccini,26,20,16,17,0
Bella Luna,31,18,16,17,0
Metisse,38,22,17,21,0
Gennaro,34,24,10,16,0
